sample,from,to,sync_ms,clean_blk_s
2228,22289900,22289999,1601,62.4
2229,22299900,22299999,1507,66.3
2230,22309900,22309999,1526,65.5
2231,22319900,22319999,1489,67.1
2232,22329900,22329999,1615,61.9
2233,22339900,22339999,1471,67.9
2234,22349900,22349999,1706,58.6
2235,22359900,22359999,1488,67.2
2236,22369900,22369999,1900,52.6
2237,22379900,22379999,1503,66.5
2238,22389900,22389999,1717,58.2
2239,22399900,22399999,1433,69.7
2240,22409900,22409999,1410,70.9
2241,22419900,22419999,1756,56.9
2242,22429900,22429999,1526,65.5
2243,22439900,22439999,1772,56.4
2244,22449900,22449999,1536,65.1
2245,22459900,22459999,1545,64.7
2246,22469900,22469999,1763,56.7
2247,22479900,22479999,1785,56.0
2248,22489900,22489999,1453,68.8
2249,22499900,22499999,1602,62.4
2250,22509900,22509999,1454,68.7
2251,22519900,22519999,1538,65.0
2252,22529900,22529999,2016,49.6
2253,22539900,22539999,1321,75.7
2254,22549900,22549999,1901,52.6
2255,22559900,22559999,1616,61.8
2256,22569900,22569999,1703,58.7
2257,22579900,22579999,1669,59.9
2258,22589900,22589999,1822,54.8
2259,22599900,22599999,1819,54.9
2260,22609900,22609999,1424,70.2
2261,22619900,22619999,1710,58.4
2262,22629900,22629999,1454,68.7
2263,22639900,22639999,1464,68.3
2264,22649900,22649999,1719,58.1
2265,22659900,22659999,1692,59.1
2266,22669900,22669999,1723,58.0
2267,22679900,22679999,1678,59.5
2268,22689900,22689999,1814,55.1
2269,22699900,22699999,1544,64.7
2270,22709900,22709999,1551,64.4
2271,22719900,22719999,1476,67.7
2272,22729900,22729999,1535,65.1
2273,22739900,22739999,1557,64.2
2274,22749900,22749999,1575,63.4
2275,22759900,22759999,1589,62.9
2276,22769900,22769999,1765,56.6
2277,22779900,22779999,1387,72.0
2278,22789900,22789999,1523,65.6
2279,22799900,22799999,1670,59.8
2280,22809900,22809999,1517,65.9
2281,22819900,22819999,1500,66.6
2282,22829900,22829999,1617,61.8
2283,22839900,22839999,1579,63.3
2284,22849900,22849999,1704,58.6
2285,22859900,22859999,1405,71.1
2286,22869900,22869999,1601,62.4
2287,22879900,22879999,1536,65.1
2288,22889900,22889999,1649,60.6
2289,22899900,22899999,1915,52.2
2290,22909900,22909999,1847,54.1
2291,22919900,22919999,1712,58.4
2292,22929900,22929999,1650,60.6
2293,22939900,22939999,1227,81.4
2294,22949900,22949999,2106,47.4
2295,22959900,22959999,1593,62.7
2296,22969900,22969999,1895,52.7
2297,22979900,22979999,2299,43.4
2298,22989900,22989999,2072,48.2
2299,22999900,22999999,1883,53.1
2300,23009900,23009999,2222,45.0
2301,23019900,23019999,2076,48.1
2302,23029900,23029999,1552,64.4
2303,23039900,23039999,1837,54.4
2304,23049900,23049999,1939,51.5
2305,23059900,23059999,2327,42.9
2306,23069900,23069999,1887,52.9
